ID_DN,CITY,ENT_TYPE,AGE,LEGAL_GENDER,CAPITAL_AMOUNT,TOTAL_OF_LABORS,MA_NGANH,TienTT_2015,ThuNH_2015,HangTon_2015,TSCoDinh_2015,NoNgan_2015,NoDai_2015,VonCSH_2015,DTThuan_2015,GiaVon_2015,DThuTC_2015,LNThuan_2015,TongLN_2015,LNsauthue_2015,TienTT_2016,ThuNH_2016,HangTon_2016,TSCoDinh_2016,NoNgan_2016,NoDai_2016,VonCSH_2016,DTThuan_2016,GiaVon_2016,DThuTC_2016,LNThuan_2016,TongLN_2016,LNsauthue_2016,TienTT_2017,ThuNH_2017,HangTon_2017,TSCoDinh_2017,NoNgan_2017,NoDai_2017,VonCSH_2017,DTThuan_2017,GiaVon_2017,DThuTC_2017,LNThuan_2017,TongLN_2017,LNsauthue_2017,TienTT_2018,ThuNH_2018,HangTon_2018,TSCoDinh_2018,NoNgan_2018,NoDai_2018,VonCSH_2018,DTThuan_2018,GiaVon_2018,DThuTC_2018,LNThuan_2018,TongLN_2018,LNsauthue_2018,Status
ACT2033,0.57335,LLC1,11.23835616,Male,15000000000,10,49,2190166900,20493959500,24139888300,20617911100,61325927900,3000000000,5250089200,74328047400,69159312000,5288400,3158196800,213948300,164495500,2799391700,20991190800,20766248100,19256315700,48111593100,3000000000,15990534600,82038957200,79017862800,5223900,796007200,308263300,240445400,5455282741,39749186676,1.23E+11,28088286016,1.78E+11,6000000000,16181911293,1.02E+11,95084339160,2847904,1287481877,406494503,325034029,3966640219,87383578343,69888214989,24592389928,1.67E+11,6000000000,16259268389,80551497539,78126378313,2221719,-29674461,112648552,77357096,ACT
ACT2058,0.57335,LLC1,10.75890411,Female,2000000000,5,47,572267700,1,1,1,4470300,1,568711000,3505742000,2628297700,1,43534000,43509000,34802200,534046100,1,43915100,1,1000000,1,599150500,4705176000,3772452800,1000,39572600,38354000,30439500,594294791,1,8626875,1,1495071,1,636953915,5188787500,4159015256,2222,47891901,47591901,38013521,619357139,1,1,1,1000000,1,671336664,1937100000,1817100000,719,20590328,20590328,16472262,ACT
TER1532,0.57335,LLC1,9.512328767,Female,4000000000,3,46,3574662900,-180067700,790031400,1,6001900,1,4187976400,2510244600,2344589700,49600,21591800,21591800,17273400,3931636300,-306013100,575012900,1,5902500,1,4197883600,1719958100,1528422600,161300,44739300,44739300,35791400,3601297573,432842860,146384261,1,28711447,1,4154343943,663738792,603183965,14900,14225547,14225547,11380438,3855183531,228710597,1,1,24140,1,4085219988,159771818,146384261,17000,4444557,4444557,3555646,TER
ACT2169,0.57335,LLC1,10.29589041,Male,1500000000,5,46,3059791200,1264136000,793213900,1133007400,2526070300,2000000000,1812790800,14618931300,13606657800,1,22225200,22225200,21114000,2925212700,1035815600,420068100,1050495300,1702022800,2000000000,1729568900,923623000,859667600,1,-83221800,-83221800,-83221800,26307571,9021084,43267883,1547195621,1,1,1625792159,265481946,240858750,1,24623196,24623196,1,3068548807,1,191594664,1133007420,2291297562,1,2312686420,5213090660,4717405047,26517,261772067,261772067,248683464,ACT
TER1713,0.57335,LLC2,9.608219178,Female,3000000000,15,46,24120076600,44235100,22573200,17252700,1236283000,1,23458913100,8396912800,4990241500,1,3131551000,2985758500,2687182600,23611574200,44235100,22687500,6254700,1236283000,1,23552993800,6369879000,6134553300,1,93924600,94080600,94080600,22246652287,1,22687597,6254786,335650874,1,23643300812,6237396584,5988322072,1,90272927,90306985,90306985,22126359867,1,1,1,331134874,1,23547972435,1,1,1,-95335009,-95328377,-95328377,TER
ACT2377,0.57335,LLC1,10.09863014,Male,20000000000,10,10,1080487600,6416563200,17454123000,6571051700,26785491500,1,20365248600,1.64E+11,1.56E+11,963666900,728935200,500158800,475150800,21286823400,30297196700,2.36E+11,6396285000,2.78E+11,1,20688794900,3.06E+11,2.97E+11,965204200,190959400,414359400,331487500,8454191225,35331294343,3.72E+11,11704491326,4.40E+11,1,21429790621,4.83E+11,4.72E+11,1852975524,1292307755,1292307755,1072615437,3112150808,33379191467,2.47E+11,10476592712,1.98E+11,1,99107581111,2.57E+11,3.02E+11,1576369246,-56238602154,-56216923688,-56216923688,ACT
ACT1366,0.57335,LLC2,9.490410959,Male,6800000000,5,71,5475785000,899249200,1,654046900,94410900,208700000,6909614700,5000285700,3056843100,258500,102529200,102529200,82023300,4782085300,2090658100,1,419796100,239755400,109100000,7065577500,6974989100,4595350800,146800,195367000,195367000,156293600,2789958755,4038553236,1,1058614284,624910775,1,7294376458,8585715766,4768399560,197693,304880721,304880721,243904577,2609020382,6307013126,1,1810290423,3228492841,1,7529010487,10568494543,6536934795,432125,293317536,293317536,234654029,ACT
TER1254,0.57335,LLC2,8.35890411,Male,1900000000,5,46,1839993200,1,1,1,1,1,1839993200,2210417900,2066424700,1,-60006700,-60006700,-60006700,2079241800,62027000,35082200,1,302169000,1,1876000200,5379563200,5194458400,202700,8800700,8800700,8800700,1485169881,1032180200,82819686,1,828259054,1,1777645343,1584608900,1452756443,105555,-95954946,-95954946,-95954946,184799990,1,1,1,1,1,188076602,322764200,290648780,1,-42374580,-42374580,-42374580,TER
TER1876,0.57335,LLC1,8.301369863,Male,1900000000,10,71,1816963000,1,27273400,1,1,1,1846508800,111683300,1,1,8683300,8683300,8683300,1834655400,1,27273400,1,1,1,1861928800,126293300,1,1,14493300,14493300,14493300,1863897756,1,27273400,1,1,1,1891171156,103440617,1,1,-51171156,-51171156,-51171156,1825909797,1,27273400,1,1,1,1863792974,68181818,1,1,-27378182,-27378182,-27378182,TER
TER1190,0.57335,LLC2,8.490410959,Female,7000000000,20,10,551259000,1132961000,1,1165508500,-907551700,1,3757280300,59533895300,58060584200,1411000,979573500,982913400,982913400,329227400,3452879900,197499900,886278900,1192448200,1,3673438100,1,1,118400,-83842100,-83842100,-83842100,324597897,3452879982,197499996,886278974,1192448249,1,3668808600,1,1,270616,-4629570,-4629570,-4629570,124597897,3452879982,197499996,886278974,992448249,1,3668808600,1,1,1,1,1,1,TER
